#Data Set Export - Discharge.Recorder@008471,,,,,
Timestamp (UTC),Value (Cubic Feet Per Second),Grade Code,Approval Level,Interpolation Type,Event Timestamp
2014-12-04 06:42:00,4.21999979019165,1,650,1,
2014-12-04 06:57:00,-4.55000019073486,1,650,1,
2014-12-04 07:12:00,5.19000005722046,1,650,1,
2014-12-04 07:27:00,12.6599998474121,1,650,1,
2014-12-04 07:42:00,3.5699999332428,1,650,1,
2014-12-04 07:57:00,1.95000004768372,1,650,1,
2014-12-04 08:12:00,7.1399998664856,1,650,1,
2014-12-04 08:27:00,8.4399995803833,1,650,1,
2014-12-04 08:42:00,7.78000020980835,1,650,1,
2014-12-04 08:57:00,0,1,650,1,
2014-12-04 09:12:00,-0.649999976158142,1,650,1,
2014-12-04 09:27:00,2.92000007629395,1,650,1,
2014-12-04 09:42:00,11.0100002288818,1,650,1,
2014-12-04 09:57:00,0,1,650,1,
2014-12-04 10:12:00,-1.28999996185303,1,650,1,
2014-12-04 10:27:00,0.319999992847443,1,650,1,
2014-12-04 10:42:00,2.91000008583069,1,650,1,
2014-12-04 10:57:00,3.55999994277954,1,650,1,
2014-12-04 11:12:00,0,1,650,1,
2014-12-04 11:27:00,9.06999969482422,1,650,1,
2014-12-04 11:42:00,11.0100002288818,1,650,1,
2014-12-04 11:57:00,6.80000019073486,1,650,1,
2014-12-04 12:12:00,-3.55999994277954,1,650,1,
2014-12-04 12:27:00,4.53000020980835,1,650,1,
2014-12-04 12:42:00,-6.48000001907349,1,650,1,
2014-12-04 12:57:00,2.26999998092651,1,650,1,
2014-12-04 13:12:00,7.11999988555908,1,650,1,
2014-12-04 13:27:00,4.21000003814697,1,650,1,
2014-12-04 13:42:00,4.53000020980835,1,650,1,
2014-12-04 13:57:00,2.58999991416931,1,650,1,
2014-12-04 14:12:00,-2.91000008583069,1,650,1,
2014-12-04 14:27:00,-4.8600001335144,1,650,1,
2014-12-04 14:42:00,4.8600001335144,1,650,1,
2014-12-04 14:57:00,-2.58999991416931,1,650,1,
2014-12-04 15:12:00,3.88000011444092,1,650,1,
2014-12-04 15:27:00,4.53000020980835,1,650,1,
2014-12-04 15:42:00,3.88000011444092,1,650,1,
2014-12-04 15:57:00,-2.91000008583069,1,650,1,
2014-12-04 16:12:00,2.58999991416931,1,650,1,
2014-12-04 16:27:00,9.39000034332275,1,650,1,
2014-12-04 16:42:00,3.55999994277954,1,650,1,
2014-12-04 16:57:00,-1.28999996185303,1,650,1,
2014-12-04 17:12:00,-0.649999976158142,1,650,1,
2014-12-04 17:27:00,-0.649999976158142,1,650,1,
2014-12-04 17:42:00,-1.94000005722046,1,650,1,
2014-12-04 17:57:00,7.44000005722046,1,650,1,
2014-12-04 18:12:00,2.91000008583069,1,650,1,
2014-12-04 18:27:00,1.61000001430511,1,650,1,
2014-12-04 18:42:00,14.8400001525879,1,650,1,
2014-12-04 18:57:00,7.75,1,650,1,
2014-12-04 19:12:00,-0.319999992847443,1,650,1,
2014-12-04 19:27:00,7.07999992370605,1,650,1,
2014-12-04 19:42:00,1.28999996185303,1,650,1,
2014-12-04 19:57:00,0.319999992847443,1,650,1,
2014-12-04 20:12:00,4.19000005722046,1,650,1,
2014-12-04 20:27:00,4.19000005722046,1,650,1,
2014-12-04 20:42:00,2.25,1,650,1,
2014-12-04 20:57:00,8.38000011444092,1,650,1,
2014-12-04 21:12:00,0,1,650,1,
2014-12-04 21:27:00,3.86999988555908,1,650,1,
2014-12-04 21:42:00,4.51000022888184,1,650,1,
2014-12-04 21:57:00,7.40999984741211,1,650,1,
2014-12-04 22:12:00,5.48000001907349,1,650,1,
2014-12-04 22:27:00,5.15999984741211,1,650,1,
2014-12-04 22:42:00,-0.959999978542328,1,650,1,
2014-12-04 22:57:00,-6.1100001335144,1,650,1,
2014-12-04 23:12:00,-4.17999982833862,1,650,1,
2014-12-04 23:27:00,1.92999994754791,1,650,1,
2014-12-04 23:42:00,0,1,650,1,
2014-12-04 23:57:00,0.319999992847443,1,650,1,
2014-12-05 00:12:00,-0.639999985694885,1,650,1,
2014-12-05 00:27:00,3.85999989509583,1,650,1,
2014-12-05 00:42:00,6.42999982833862,1,650,1,
2014-12-05 00:57:00,2.89000010490417,1,650,1,
2014-12-05 01:12:00,2.88000011444092,1,650,1,
2014-12-05 01:27:00,6.40000009536743,1,650,1,
2014-12-05 01:42:00,-1.60000002384186,1,650,1,
2014-12-05 01:57:00,1.91999995708466,1,650,1,
2014-12-05 02:12:00,2.88000011444092,1,650,1,
2014-12-05 02:27:00,-3.82999992370605,1,650,1,
2014-12-05 02:42:00,-1.60000002384186,1,650,1,
2014-12-05 02:57:00,2.86999988555908,1,650,1,
2014-12-05 03:12:00,-3.19000005722046,1,650,1,
2014-12-05 03:27:00,3.82999992370605,1,650,1,
2014-12-05 03:42:00,7.67000007629395,1,650,1,
2014-12-05 03:57:00,8.9399995803833,1,650,1,
2014-12-05 04:12:00,-2.54999995231628,1,650,1,
2014-12-05 04:27:00,0,1,650,1,
2014-12-05 04:42:00,11.5,1,650,1,
2014-12-05 04:57:00,-7.34000015258789,1,650,1,
2014-12-05 05:12:00,3.82999992370605,1,650,1,
2014-12-05 05:27:00,0.959999978542328,1,650,1,
2014-12-05 05:42:00,-0.639999985694885,1,650,1,
2014-12-05 05:57:00,3.50999999046326,1,650,1,
2014-12-05 06:12:00,1.5900000333786,1,650,1,
2014-12-05 06:27:00,4.15000009536743,1,650,1,
